,charge,filename,run,stub
460,18927514,clas_038729.A09,038729,09
461,11483110,clas_038209.A17,038209,17
462,12847368,clas_037808.A02,037808,02
463,10707716,clas_038573.A05,038573,05
464,12801530,clas_038700.A02,038700,02
465,12638116,clas_038306.A14,038306,14
466,8786838,clas_038667.A22,038667,22
467,11083494,clas_038649.A00,038649,00
468,10898726,clas_038477.A22,038477,22
469,13204064,clas_038313.A06,038313,06
470,11283546,clas_038563.A08,038563,08
471,12812200,clas_037814.A00,037814,00
472,11570922,clas_038086.A11,038086,11
473,11977136,clas_038226.A04,038226,04
474,10229312,clas_038498.A09,038498,09
475,10973664,clas_038559.A01,038559,01
476,19338586,clas_038734.A13,038734,13
477,12909388,clas_038220.A10,038220,10
478,12474198,clas_038328.A14,038328,14
479,10521334,clas_038521.A09,038521,09
480,10675760,clas_038560.A20,038560,20
481,10830168,clas_038487.A02,038487,02
482,12902714,clas_037851.A09,037851,09
483,10737070,clas_038561.A11,038561,11
484,19059820,clas_038733.A03,038733,03
485,12828166,clas_038093.A10,038093,10
486,12633312,clas_038315.A15,038315,15
487,3240478,clas_038536.A18,038536,18
488,12416020,clas_038378.A09,038378,09
489,11935944,clas_038419.A04,038419,04
490,9585830,clas_038213.A20,038213,20
491,10964756,clas_038723.A19,038723,19
492,13339568,clas_037767.A09,037767,09
493,10223730,clas_038551.A12,038551,12
494,11014278,clas_038698.A22,038698,22
495,12519490,clas_038092.A10,038092,10
496,10466234,clas_038531.A00,038531,00
497,11863194,clas_038545.A04,038545,04
498,12933472,clas_037744.A06,037744,06
499,12487982,clas_038076.A17,038076,17
500,12409054,clas_038047.A02,038047,02
501,12630504,clas_038300.A12,038300,12
502,10959840,clas_038717.A06,038717,06
503,11643782,clas_038717.A09,038717,09
504,12581186,clas_038354.A12,038354,12
505,13247202,clas_038331.A11,038331,11
506,10272248,clas_038610.A21,038610,21
507,11998456,clas_038388.A03,038388,03
508,13259546,clas_037825.A19,037825,19
509,12897886,clas_037819.A00,037819,00
510,11036846,clas_038685.A15,038685,15
511,13682370,clas_037825.A14,037825,14
512,12577902,clas_037815.A10,037815,10
513,10247770,clas_038552.A03,038552,03
514,10317786,clas_038457.A24,038457,24
515,10902460,clas_038624.A06,038624,06
516,14226266,clas_038337.A00,038337,00
517,415886,clas_037806.A20,037806,20
518,11369920,clas_038580.A14,038580,14
519,11578840,clas_038544.A04,038544,04
520,12279644,clas_038603.A26,038603,26
521,2245210,clas_038488.A08,038488,08
522,10907634,clas_038463.A10,038463,10
523,12866482,clas_038288.A06,038288,06
524,11772960,clas_038689.A16,038689,16
525,10976116,clas_038684.A13,038684,13
526,11446126,clas_038172.A12,038172,12
527,11260792,clas_038544.A08,038544,08
528,12678984,clas_038673.A20,038673,20
529,4334384,clas_038527.A09,038527,09
530,11581906,clas_038711.A07,038711,07
531,13320688,clas_037708.A11,037708,11
532,12174862,clas_038120.A19,038120,19
533,13372124,clas_037775.A17,037775,17
534,11787308,clas_038401.A06,038401,06
535,10287326,clas_038540.A17,038540,17
536,11940002,clas_038135.A18,038135,18
537,10986134,clas_038721.A26,038721,26
538,13415602,clas_037681.A09,037681,09
539,12765818,clas_037724.A08,037724,08
540,10934104,clas_038487.A22,038487,22
541,10463266,clas_038749.A02,038749,02
542,13442200,clas_037715.A12,037715,12
543,12663410,clas_038277.A15,038277,15
544,11739104,clas_038384.A03,038384,03
545,12066036,clas_038186.A05,038186,05
546,11836842,clas_038422.A08,038422,08
547,11900700,clas_038217.A11,038217,11
548,12479354,clas_038074.A17,038074,17
549,11300538,clas_038630.A16,038630,16
550,13321062,clas_037814.A16,037814,16
